Setting,Runs,AP,AUROC,F1,MCC,AP seed SD
Shared LoRA,1,0.97709,0.96227,0.93278,0.79342,--
Six experts: direct,1,0.97686,0.96286,0.93285,0.80207,--
Six experts: fixed,1,0.97116,0.95032,0.92237,0.77244,--
Six experts: dynamic,1,0.97138,0.95033,0.92215,0.77125,--
Class-balanced loss,1,0.97636,0.95927,0.93030,0.78111,--
Internal training subset,1,0.97473,0.95867,0.92483,0.78753,--
Task-aware mask,3,0.97579,0.95917,0.92889,0.78423,0.00017
Random equal-count mask,3,0.94567,0.88668,0.85101,0.58332,0.00143
Row-shuffled mask,1,0.94088,0.87504,0.82214,0.54072,--
25% known-label masking,1,0.97504,0.95665,0.92808,0.77836,--
