Backbone/features,Adaptation,Supervision,AP,AUROC,F1,MCC
ProtT5,LoRA,Masked-BCE,0.9771,0.9623,0.9328,0.7934
ProtT5,LoRA,BCE,0.9539,0.9083,0.8674,0.6204
ProtT5,Frozen,Masked-BCE,0.9741,0.9570,0.9275,0.7882
ProtT5,Frozen,BCE,0.9507,0.8979,0.8652,0.6084
ESM-2 3B,LoRA,Masked-BCE,0.9749,0.9570,0.9298,0.7931
ESM-2 3B,LoRA,BCE,0.9509,0.8936,0.8611,0.5867
ESM-2 3B,Frozen,Masked-BCE,0.9734,0.9548,0.9258,0.7681
ESM-2 3B,Frozen,BCE,0.9468,0.8899,0.8592,0.5842
ESM-2 650M,LoRA,Masked-BCE,0.9725,0.9550,0.9217,0.7588
ESM-2 650M,LoRA,BCE,0.9461,0.8868,0.8562,0.5735
ESM-2 650M,Frozen,Masked-BCE,0.9702,0.9507,0.9220,0.7553
ESM-2 650M,Frozen,BCE,0.9430,0.8803,0.8537,0.5696
Handcrafted,LightGBM,Known labels,0.9353,0.8856,0.8757,0.5968
Handcrafted,RF,Known labels,0.9189,0.8424,0.8349,0.4959
Length + AAC,LR,Known labels,0.8970,0.8179,0.8095,0.4694
