评价维度,指标,方向,ProteinMPNN,Marslike-MPNN,Marslike减Base,95%CI下限,95%CI上限,改善配对比例,结论
结构,US-align RMSD,越低越好,2.426099,2.444248,0.018150,-0.017089,0.053338,49.206349,无明确差异
结构,TM-score,越高越好,0.769976,0.765478,-0.004498,-0.008457,-0.000531,48.162072,轻微下降
结构,GDT-TS,越高越好,67.092749,66.329147,-0.763602,-1.325517,-0.206247,45.781119,轻微下降
结构,平均pLDDT,越高越好,87.107973,87.238332,0.130359,-0.177616,0.439085,42.940685,基本不变
表面,STNQDE与参考距离,越低越好,0.111917,0.093266,-0.018651,-0.022747,-0.014680,62.155389,明确改善
表面,Met/Cys与参考距离,越低越好,0.025041,0.020708,-0.004333,-0.004683,-0.003987,71.887970,明确改善
序列,序列recovery百分比,越高越好,37.910700,41.242085,3.331385,3.060772,3.618621,66.917293,明确提高
序列,排除亲本后的novelty百分比,越高越好,77.464119,77.004573,-0.459546,-0.977558,0.075686,47.869674,无明确差异
闭环回评,六标签等权综合分,越高越好,0.626558,0.668684,0.042126,0.036570,0.047774,66.123642,明确提高
闭环回评,与原始序列六维评分距离,越低越好,0.956877,0.836100,-0.120777,-0.139867,-0.102039,63.116124,明确改善
