method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,0007,42,43,69.90990990990991,30.090090090090094
base,0007,42,44,75.67567567567568,24.32432432432432
base,0007,43,44,73.15315315315316,26.84684684684685
base,0014,42,43,76.72955974842768,23.27044025157232
base,0014,42,44,50.314465408805034,49.685534591194966
base,0014,43,44,47.16981132075472,52.83018867924528
base,0026,42,43,68.70748299319727,31.292517006802722
base,0026,42,44,72.10884353741497,27.89115646258503
base,0026,43,44,71.08843537414967,28.91156462585034
base,0049,42,43,65.05376344086021,34.946236559139784
base,0049,42,44,61.82795698924731,38.17204301075269
base,0049,43,44,69.89247311827957,30.107526881720425
base,0060,42,43,75.84745762711864,24.152542372881356
base,0060,42,44,71.1864406779661,28.8135593220339
base,0060,43,44,72.88135593220339,27.118644067796616
base,0062,42,43,71.64179104477611,28.358208955223883
base,0062,42,44,68.65671641791045,31.343283582089555
base,0062,43,44,80.59701492537313,19.402985074626866
base,0076,42,43,58.333333333333336,41.666666666666664
base,0076,42,44,52.38095238095239,47.61904761904761
base,0076,43,44,40.476190476190474,59.523809523809526
base,0095,42,43,75.0,25.0
base,0095,42,44,73.84615384615385,26.15384615384615
base,0095,43,44,75.38461538461539,24.615384615384617
base,0115,42,43,73.38403041825094,26.615969581749056
base,0115,42,44,71.86311787072243,28.136882129277563
base,0115,43,44,69.20152091254754,30.798479087452467
base,0128,42,43,69.28571428571428,30.714285714285715
base,0128,42,44,58.57142857142858,41.42857142857142
base,0128,43,44,63.57142857142857,36.42857142857143
base,0146,42,43,69.42148760330579,30.57851239669421
base,0146,42,44,64.46280991735537,35.537190082644635
base,0146,43,44,68.59504132231406,31.404958677685947
base,0153,42,43,70.37037037037037,29.629629629629626
base,0153,42,44,72.8395061728395,27.160493827160494
base,0153,43,44,72.8395061728395,27.160493827160494
base,0154,42,43,70.53140096618358,29.468599033816425
base,0154,42,44,72.94685990338165,27.053140096618357
base,0154,43,44,70.04830917874396,29.951690821256037
base,0161,42,43,76.5281173594132,23.471882640586795
base,0161,42,44,74.32762836185819,25.67237163814181
base,0161,43,44,77.50611246943765,22.49388753056235
base,0168,42,43,71.62162162162163,28.37837837837838
base,0168,42,44,48.1981981981982,51.80180180180181
base,0168,43,44,51.80180180180181,48.19819819819819
base,0173,42,43,73.62637362637363,26.37362637362637
base,0173,42,44,74.41130298273156,25.588697017268448
base,0173,43,44,76.29513343799059,23.704866562009418
base,0193,42,43,76.31578947368422,23.684210526315784
base,0193,42,44,77.19298245614034,22.807017543859654
base,0193,43,44,76.31578947368422,23.684210526315784
base,0219,42,43,67.15328467153284,32.846715328467155
base,0219,42,44,72.99270072992701,27.00729927007299
base,0219,43,44,68.61313868613139,31.386861313868607
base,0226,42,43,75.1937984496124,24.8062015503876
base,0226,42,44,73.64341085271317,26.356589147286826
base,0226,43,44,71.31782945736434,28.682170542635653
base,0233,42,43,63.29113924050633,36.70886075949367
base,0233,42,44,67.97468354430379,32.025316455696206
base,0233,43,44,61.64556962025316,38.35443037974684
base,0238,42,43,79.3103448275862,20.68965517241379
base,0238,42,44,78.16091954022988,21.83908045977011
base,0238,43,44,74.13793103448276,25.86206896551724
base,0240,42,43,78.1456953642384,21.85430463576159
base,0240,42,44,74.17218543046357,25.82781456953642
base,0240,43,44,76.95364238410596,23.046357615894042
base,0250,42,43,73.93939393939394,26.060606060606062
base,0250,42,44,73.63636363636363,26.363636363636367
base,0250,43,44,74.84848484848486,25.15151515151515
base,0264,42,43,71.75141242937853,28.248587570621464
base,0264,42,44,76.8361581920904,23.163841807909602
base,0264,43,44,66.66666666666666,33.333333333333336
base,0265,42,43,69.04761904761905,30.952380952380953
base,0265,42,44,72.61904761904762,27.380952380952383
base,0265,43,44,79.76190476190477,20.238095238095234
base,0268,42,43,68.1118881118881,31.888111888111894
base,0268,42,44,72.86713286713287,27.132867132867133
base,0268,43,44,67.83216783216784,32.16783216783217
base,0269,42,43,77.85977859778598,22.14022140221402
base,0269,42,44,74.90774907749078,25.09225092250923
base,0269,43,44,80.07380073800738,19.926199261992615
base,0291,42,43,62.06896551724138,37.93103448275862
base,0291,42,44,77.01149425287356,22.988505747126442
base,0291,43,44,73.5632183908046,26.436781609195403
base,0298,42,43,69.35483870967742,30.645161290322577
