source_id,before_fractional_rows,added_fractional_rows,after_fractional_rows
CO001,48.5,0,48.5
DE001,643.3333333333334,0.5,643.8333333333334
DE003,365.0,0,365.0
DE004,1.4166666666666665,1.0,2.4166666666666665
ISS_CO_AAC,160.58333333333331,84.66666666666666,245.25
ISS_CO_ESMPSYPRED,119.33333333333333,226.83333333333337,346.16666666666663
ISS_OX_AOP2020,45.74999999999999,107.0,152.75
ISS_RD_DNAREPAIR2009,467.74999999999915,386.66666666666663,854.4166666666658
ISS_SA_HALOCLASS,356.1666666666667,37.166666666666664,393.33333333333314
ISS_SA_HALOMPNN,19.5,33.5,53.0
ISS_SA_HPCLAS,268.33333333333337,309.0,577.3333333333334
MX001,23.5,5.666666666666667,29.166666666666654
OX002,763.8333333333339,1.0,764.8333333333339
OX005,33.5,0,33.5
PE002,1614.0,11.0,1625.0
RA006,303.5,402.0,705.5
SA006,307.0,3.0,310.0
